name,lat,lng,ll
The Moontower Bar and Grill,39.127396,-86.555422,"39.127396,-86.555422"
Tacos & Tequila Sports Bar,39.146152,-86.578747,"39.146152,-86.578747"
Barry Company,39.147953,-86.580492,"39.147953,-86.580492"
Raber Portable Storage Barns,39.136654,-86.595345,"39.136654,-86.595345"
Ken's Barber Shop,39.134571,-86.583209,"39.134571,-86.583209"
Raber's Portable Storage Barns,39.136684,-86.599783,"39.136684,-86.599783"
Cabin Restaurant & Lounge,39.117278,-86.428586,"39.117278,-86.428586"
Buddy Bill's Bait Barn,39.100026,-86.500679,"39.100026,-86.500679"
Stone Creek Ranch Barn,39.083093,-86.605443,"39.083093,-86.605443"
The Barn on Maryland Ridge,39.08785,-86.66647,"39.08785,-86.66647"
Workman Pole Barns & Garages,39.068751,-86.695921,"39.068751,-86.695921"
Fairfax Inn,39.03408,-86.49074,"39.03408,-86.49074"
The Pointe Bar,39.033185,-86.511288,"39.033185,-86.511288"
Stonecreek Ranch Barn,39.059434,-86.604144,"39.059434,-86.604144"
Hoosier Daddy's Pub & Grub,39.044829,-86.711538,"39.044829,-86.711538"
